mult,sym,min_fvg,trades,pnl,wr,mdd,pf
0.26,ADAUSDT,0.0005,515,4663.02,36.699029126213595,4.7143034147439185,3.231327818412627
0.26,APTUSDT,0.0021,575,11288.42,48.869565217391305,2.6710706711178926,3.6275493845166564
0.26,ATOMUSDT,0.0029,688,18435.31,44.33139534883721,5.882841171588274,5.3765314742368115
0.26,AVAXUSDT,0.015,502,6287.65,39.04382470119522,2.925323777902853,4.07871249122774
0.26,BNBUSDT,0.6554,624,12222.85,44.07051282051282,4.331665102196476,4.082816762059293
0.26,BTCUSDT,71.8715,517,11474.68,43.520309477756285,3.7247446218337137,4.411581646875175
0.26,DOTUSDT,0.0027,609,14344.46,42.20032840722496,4.320728221573729,5.034208284521944
0.26,ETHUSDT,3.008,391,3323.71,35.294117647058826,4.0391383530548,3.327754891864058
0.26,LINKUSDT,0.0151,432,2320.82,34.9537037037037,7.4437954681996255,2.7663537354807173
0.26,NEARUSDT,0.0023,712,13961.45,45.78651685393258,1.9079152368652523,3.9436081215366734
0.26,SOLUSDT,0.1414,373,1161.06,28.418230563002684,14.027034730071804,3.1463174062427206
0.26,SUIUSDT,0.002,582,8096.28,40.72164948453608,4.108141247567241,3.7175983617906625
0.26,XRPUSDT,0.0022,535,8385.13,41.308411214953274,4.421615639618805,3.6847718883407308
0.28,ADAUSDT,0.0005,498,4459.11,36.34538152610442,4.8713268546887685,3.228037913961097
0.28,APTUSDT,0.0023,566,10206.01,48.23321554770318,2.855649669579658,3.469531234596221
0.28,ATOMUSDT,0.0032,663,18066.6,43.13725490196079,5.915546053839009,5.565021909027686
0.28,AVAXUSDT,0.0161,492,5763.96,38.00813008130081,3.01239443720852,4.12802610269885
0.28,BNBUSDT,0.7058,614,12330.7,44.13680781758957,4.336725311694871,4.187429254950754
0.28,BTCUSDT,77.4001,505,10580.72,42.17821782178218,3.838430921600485,4.375084003024107
0.28,DOTUSDT,0.0029,597,11458.07,39.86599664991625,5.470824328496411,4.5768611310750735
0.28,ETHUSDT,3.2394,380,2697.24,34.21052631578947,3.9373178990471684,3.1561279564702267
0.28,LINKUSDT,0.0162,420,1938.36,33.57142857142857,7.666834538526617,2.795670469650881
0.28,NEARUSDT,0.0025,700,13495.15,45.42857142857143,1.9079918902260282,3.8442367083677147
0.28,SOLUSDT,0.1523,371,584.13,27.49326145552561,15.09396082436838,2.966890623369209
0.28,SUIUSDT,0.0022,560,7699.07,40.89285714285714,4.195455386789176,3.633143476411076
0.28,XRPUSDT,0.0023,518,7046.37,41.6988416988417,4.745295668038125,3.32863458850881
0.3,ADAUSDT,0.0005,487,3955.28,35.52361396303901,5.0621688621008065,3.1858410479134616
0.3,APTUSDT,0.0025,563,8993.58,47.246891651865006,3.4519057389790477,3.27153016501452
0.3,ATOMUSDT,0.0034,639,16344.95,41.94053208137715,5.933204312416346,5.543802949185245
0.3,AVAXUSDT,0.0173,483,5729.28,37.88819875776397,2.7599192079420867,4.206489905472591
